928,108,0.915,0.259342,352932,4.02625e+06,102.593
911,90,0.913907,0.805747,352982,4.02622e+06,49.9259
905,84,0.907801,0.907323,352991,4.02616e+06,50.2395
935,114,0.887574,0.941101,352918,4.02631e+06,51.5877
902,81,0.885117,0.702838,353040,4.02614e+06,53.5662
853,28,0.877698,0.878195,353108,4.02594e+06,98.9443
877,56,0.876011,0.865844,353052,4.02608e+06,49.3068
1881,914,0.875,0.257218,352969,4.02619e+06,50.6688
1857,119,0.861048,0.327941,352896,4.02628e+06,52.1316
1882,913,0.858586,0.27003,352972,4.02618e+06,50.6471
927,108,0.854592,0.263515,352985,4.02624e+06,55.2048
849,23,0.852665,0.308602,353122,4.02597e+06,47.8228
863,40,0.850806,0.94839,353137,4.02599e+06,52.6747
1888,907,0.84507,0.262332,352987,4.02616e+06,50.7213
858,34,0.828452,0.391084,353093,4.02596e+06,47.5411
1805,170,0.828025,0.154235,352741,4.02639e+06,56.3853
1806,170,0.827586,0.1614,352743,4.02639e+06,56.4117
1796,182,0.823691,0.36159,352698,4.0264e+06,56.6007
886,66,0.821782,0.848348,353031,4.02608e+06,49.7215
854,29,0.821429,0.237088,353111,4.026e+06,47.6468
753,693,0.818182,0.963849,353102,4.02569e+06,50.8656
880,61,0.817935,0.669453,353042,4.02606e+06,49.1577
869,48,0.817869,0.340738,353113,4.02602e+06,52.1988
2371,970,0.815657,0.741911,352895,4.02635e+06,52.7343
870,48,0.812734,0.90642,353068,4.02602e+06,92.4981
861,37,0.8125,0.807331,353086,4.02598e+06,103.934
2426,108,0.808901,0.20397,352932,4.02624e+06,51.7446
865,44,0.807547,0.832822,353078,4.02606e+06,47.8481
859,35,0.804255,0.812102,353090,4.02597e+06,47.589
837,5,0.80109,0.855268,353191,4.02588e+06,52.7781
2397,130,0.787611,0.118494,352857,4.02632e+06,53.5213
929,108,0.777273,0.278816,352935,4.02629e+06,50.8466
1933,865,0.776892,0.18409,353084,4.02597e+06,48.3182
855,30,0.771536,0.774792,353159,4.02595e+06,52.3807
750,689,0.770718,0.777025,353089,4.02569e+06,54.1029
2425,107,0.770574,0.196819,352933,4.02624e+06,51.6439
2951,2069,0.770115,0.660615,353522,4.02598e+06,51.2188
878,57,0.769648,0.918447,353047,4.02605e+06,49.3175
912,91,0.767981,0.902842,353023,4.02618e+06,54.0762
856,31,0.764925,0.903675,353100,4.02595e+06,104.76
864,40,0.764228,0.736111,353079,4.026e+06,105.82
1934,42,0.761566,0.190395,353086,4.02597e+06,48.2366
761,699,0.753191,0.720269,353083,4.0257e+06,51.296
845,19,0.744505,0.242763,353129,4.02596e+06,48.3456
2373,966,0.739234,0.673655,352885,4.02635e+06,52.6183
862,40,0.738281,0.91486,353086,4.02604e+06,47.637
2429,1869,0.735892,0.87642,352935,4.02623e+06,52.4265
916,87,0.733696,0.673846,353022,4.02618e+06,54.1889
1787,196,0.72987,0.487747,352662,4.02641e+06,58.7972
749,689,0.729223,0.729969,353053,4.02572e+06,50.8143
1803,171,0.72695,0.256448,352735,4.02639e+06,56.5285
1782,204,0.719008,0.530051,352645,4.02642e+06,59.1245
918,93,0.706371,0.708196,352969,4.02625e+06,50.3127
1867,107,0.700713,0.215905,352930,4.02624e+06,51.4782
1931,40,0.692641,0.266763,353083,4.02597e+06,48.3049
836,5,0.690608,0.825052,353152,4.02592e+06,48.9225
751,690,0.687679,0.91674,353055,4.02569e+06,89.2564
1363,1272,0.685775,0.746391,353080,4.02679e+06,55.7909
1451,1388,0.682857,0.431341,352995,4.0268e+06,85.7583
1926,859,0.677885,0.220748,353082,4.02598e+06,48.5744
1936,42,0.670498,0.161031,353090,4.02596e+06,48.3973
1774,212,0.66506,0.66866,352620,4.02644e+06,58.3231
756,694,0.659751,0.830639,353069,4.0257e+06,51.0603
754,693,0.657795,0.991514,353065,4.02569e+06,50.9723
2433,1869,0.657563,0.786313,352937,4.02623e+06,52.389
838,7,0.644022,0.916864,353144,4.02588e+06,95.71
866,40,0.630435,0.683655,353132,4.02599e+06,52.7189
840,9,0.630372,0.912593,353190,4.02589e+06,52.8233
906,85,0.621315,0.894065,352989,4.02616e+06,50.2983
1930,864,0.606335,0.132758,353081,4.02598e+06,48.3548
1880,96,0.600509,0.182261,352964,4.0262e+06,50.7702
1876,91,0.599515,0.208677,352964,4.0262e+06,50.8893
747,687,0.596045,0.883547,353043,4.02569e+06,89.3995
1912,877,0.595808,0.28559,353046,4.02605e+06,49.8999
904,83,0.593824,0.76569,352994,4.02615e+06,50.1767
2863,1931,0.586066,0,353224,4.02589e+06,50.0305
758,696,0.585551,0.934915,353075,4.0257e+06,50.8755
1035,905,0.576555,0,353045,4.91547e+45,56.4234
2447,821,0.57631,0,353071,4.02602e+06,49.6649
1098,43,0.572347,0,5.73678e+45,4.02633e+06,58.5275
860,30,0.563433,0.535782,353152,4.02596e+06,52.4752
1979,1126,0.560773,0,353282,4.02623e+06,55.7704
1985,1184,0.557864,0,353225,4.02635e+06,59.0536
1935,861,0.555133,0.203544,353092,4.02596e+06,48.2799
903,82,0.55443,0.706707,352996,4.02615e+06,91.3605
585,474,0.550152,0,352710,4.02594e+06,53.798
1928,30,0.549107,0.130719,353093,4.02596e+06,48.4279
759,698,0.548936,0.932405,353079,4.0257e+06,51.1476
2437,1872,0.542373,0.828612,352942,4.02622e+06,52.2817
