818,67,0.365876,0.894535,-140.349,184.528,100.825
1312,1227,0.315534,0,183.563,-146.934,78.4118
561,135,0.299678,0.691939,-91.1138,583.256,89.6569
1044,990,0.299207,0.904321,-213.163,-31.5059,81.4096
532,137,0.295775,0.728562,-93.3423,589.159,89.6807
1109,56,0.294923,0.795101,-159.454,116.14,98.5382
560,135,0.288787,0.652174,-91.2432,583.227,89.6595
654,502,0.27445,0.526104,-265.134,612.682,87.9602
417,336,0.269357,0.853517,-710.681,692.871,95.3154
1081,26,0.269126,0.865908,-200.372,-22.752,81.4934
1291,1237,0.265823,0,178.982,-162.112,78.2631
507,160,0.264019,0.693846,-232.308,610.506,89.1356
1292,1081,0.262712,0,-17.7155,-59.525,79.9507
594,135,0.262209,0.829816,-93.6374,584.437,89.5517
332,281,0.261647,0.583006,-707.797,693.743,95.1005
580,135,0.261142,0.803263,-91.2653,584.513,89.3239
631,155,0.259494,0.739811,-204.159,602.414,90.4178
407,346,0.257565,0.705116,-775.927,695.054,99.5988
1305,1234,0.257534,0,198.192,-157.625,79.0061
334,280,0.255102,0.800985,-708.004,693.695,95.0672
333,281,0.255068,0.590158,-707.912,693.795,95.0827
330,278,0.253142,0.76335,-707.975,692.784,95.0131
572,135,0.252786,0.806686,-91.2593,584.707,89.3735
1061,1007,0.251705,0.58425,-213.046,-34.0731,81.1577
573,134,0.246634,0.614559,-89.4747,583.448,89.4716
595,541,0.245353,0.798067,-89.9873,589.127,89.6218
1058,1007,0.243371,0.660703,-212.852,-33.1126,81.2317
1063,996,0.241809,0.67737,-213.63,-33.9801,81.1511
593,541,0.238938,0.728088,-87.2297,588.969,89.4351
711,641,0.238908,0.523181,-242.239,609.135,87.9896
1314,179,0.237736,0,-96.7166,387.169,86.4145
413,340,0.2375,0.673247,-736.954,694.38,95.9729
1059,1007,0.236225,0.639303,-212.936,-33.2022,81.2073
559,137,0.234727,0.65069,-94.2897,584.087,89.5289
335,283,0.22973,0.666271,-708.04,693.217,95.0793
597,137,0.229651,0.833458,-102.052,586.519,89.3425
1309,883,0.22963,0,-93.5873,95.4585,90.5936
645,502,0.228439,0.475685,-268.14,612.143,88.1041
1070,1007,0.228059,0.710448,-213.549,-34.627,81.1584
331,277,0.226795,0.621937,-707.367,692.536,94.9452
632,156,0.226354,0.855755,-209.192,604.848,90.1174
1318,1242,0.225904,0,263.95,-162.246,77.6011
541,134,0.225764,0.650412,-88.879,587.228,89.7753
1052,991,0.225071,0.736774,-213.516,-31.7054,81.2686
1319,363,0.22409,0,-210.072,295.367,90.4893
535,137,0.222294,0.7625,-92.5844,589.225,89.6433
830,66,0.220354,0.80958,-143.4,182.409,101.176
710,642,0.217225,0.604938,-249.647,609.588,87.7312
836,67,0.216639,0.778856,-145.965,184.677,101.097
827,67,0.215721,0.720121,-142.07,185.103,101.208
