2172,734,0.735043,0.886757,-74.4072,-315.511,5.55472
2190,751,0.716814,0.739738,-59.5803,-280.761,4.15358
2074,1361,0.711198,0.798128,-122.855,-483.512,7.37115
2191,753,0.680851,0.740843,-56.8118,-280.463,3.63907
675,237,0.640708,0.65979,-12.906,-238.619,1.02342
607,295,0.610256,0.625199,82.0323,-296.45,-2.56237
690,227,0.60372,0.876201,-44.8181,-244.925,1.87864
535,376,0.6,0.867912,83.1518,-471.688,-3.16604
669,243,0.575875,0.756316,4.49256,-238.623,0.419743
1131,1037,0.574786,0.792003,-310.365,-457.832,8.7669
605,295,0.562937,0.709376,82.5513,-298.435,-2.50363
2069,1369,0.55364,0.80032,-140.258,-500.893,7.42657
544,362,0.542339,0.757224,88.559,-444.731,-3.11957
688,223,0.524288,0.82832,-47.38,-243.532,2.02634
538,374,0.518272,0.694927,84.8797,-465.292,-3.17175
2066,1369,0.465921,0.647665,-143.874,-504.701,7.4464
69,15,0.429561,0.490921,54.5328,97.0576,-7.01696
169,42,0.414248,0,-17.1011,-25.9534,-4.0456
2414,354,0.409978,0,75.4565,-271.366,-2.35993
526,384,0.403509,0.677697,82.0386,-490.539,-3.23466
686,227,0.375,0.79617,-42.0104,-243.573,1.65608
2457,61,0.366492,0.0243057,34.9318,64.4214,-6.04681
537,374,0.346505,0.688357,84.4705,-466.735,-3.14665
610,291,0.341651,0.753788,82.2385,-288.159,-2.61233
679,235,0.331263,0.712469,-20.9005,-239.133,1.25311
1401,1188,0.319626,0.80623,-172.268,-439.04,8.42927
323,254,0.318396,0,61.0847,-290.792,-1.35456
1780,1624,0.306092,0,-169.4,-632.887,9.06529
2202,227,0.302521,0.759058,-44.068,-244.533,1.85977
591,540,0.302395,0.0202039,88.1061,-397.87,-2.66707
2469,2298,0.297872,0,31.0097,-125.971,-1.48284
2411,2024,0.29718,0,-52.6523,-317.862,4.54615
667,247,0.297101,0.77228,12.4635,-238.814,0.390887
973,236,0.293296,0,-155.904,-303.446,4.00733
1130,522,0.282306,0,-105.396,-481.917,2.41926
899,235,0.273859,0,-110.12,-265.341,4.90518
684,228,0.26975,0.771255,-37.6889,-243.193,1.54035
2037,1580,0.265372,0.737879,-181.45,-564.771,8.60578
2179,721,0.262873,0.506314,-75.0587,-301.623,5.67737
1292,1213,0.26087,0.0383583,-83.9611,-454.649,7.66491
664,247,0.253691,0.821644,16.4903,-238.672,0.33921
567,335,0.253687,0.71144,88.3967,-381.137,-2.96323
1021,270,0.247734,0,-73.8551,-300.551,2.05628
1599,1390,0.247619,0.10733,-152.046,-497.678,8.36219
1105,379,0.242165,0,-83.0441,-499.619,1.60303
1799,400,0.240476,0,-92.4776,-586.3,3.28082
655,461,0.238727,0,35.7372,-344.152,-0.803216
1839,1387,0.236162,0,-223.046,-514.283,9.13468
1543,373,0.230294,0,-51.9034,-465.179,3.09253
1636,985,0.221545,0,-184.246,-464.508,7.80033
905,391,0.212851,0,-62.5804,-406.754,1.97065
2032,773,0.211268,0,-120.071,-396.513,5.42793
1336,285,0.209964,0,19.2865,-344.405,1.1637
2313,1914,0.209302,0,-113.159,-400.378,4.93153
542,372,0.205686,0.598291,86.9564,-457.117,-3.31183
1578,518,0.203046,0,-66.9382,-537.184,3.50291
2046,551,0.197861,0,-53.1972,-488.699,2.71381
2438,790,0.195876,0,-64.5105,-159.456,2.61045
531,375,0.195822,0.818006,82.7125,-475.546,-3.27792
968,384,0.195373,0,-91.2464,-434.595,1.2524
2449,1835,0.190476,0,-188.362,-352.502,5.31999
625,353,0.189723,0,82.2039,-328.682,-2.55337
1699,38,0.187919,0,-22.5027,-305.492,0.732067
903,421,0.18595,0,-98.9468,-385.789,3.68769
1845,1009,0.176966,0,-310.724,-479.216,8.62791
1703,19,0.173333,0,-33.5957,-366.054,2.89159
500,360,0.167715,0.183104,64.3387,-473.171,-2.42645
1981,672,0.1673,0,-88.8085,-417.204,4.20443
2077,517,0.166466,0,-24.5354,-493.722,1.99071
2348,400,0.166234,0,78.445,-341.779,-2.30434
2342,1743,0.165829,0,-57.6207,-457.69,2.98881
2353,258,0.165775,0.18694,61.691,-215.668,-1.45598
909,515,0.162437,0,-63.3303,-409.531,1.50223
1038,411,0.162025,0,-148.187,-478.688,3.85571
1361,965,0.161396,0,-224.219,-413.105,7.22681
1680,1623,0.16,0.202305,-90.6922,-593.93,8.27401
2336,375,0.16,0,76.1723,-363.422,-1.99597
543,374,0.157801,0.629009,86.2848,-458.953,-3.23225
2422,2021,0.156171,0,-71.5345,-326.245,4.98116
961,741,0.152034,0,-214.368,-320.797,6.56248
2067,1369,0.149712,0.727591,-142.453,-503.443,7.44878
2483,1165,0.148148,0,-202.157,-375.087,6.46911
971,483,0.147632,0,-164.029,-446.898,3.51964
776,515,0.147493,0,-3.29589,-378.55,-0.296674
786,391,0.14653,0,-16.451,-378.719,0.399743
1848,1210,0.146417,0,-202.799,-493.31,8.21285
2413,656,0.145773,0,44.3404,-172.613,-0.329782
1784,1703,0.144989,0,-214.736,-704.775,9.8682
2052,1572,0.144385,0.655547,-175.628,-539.642,8.15389
559,383,0.143731,0.116453,85.8848,-451.899,-3.29542
1077,766,0.139651,0,-169.294,-393.694,5.27507
485,261,0.139364,0,41.6734,-336.884,-1.19639
645,412,0.138462,0,43.4235,-374.94,-1.53221
2340,2247,0.134904,0.0830567,30.9466,-190.083,-0.634122
282,151,0.134709,0,27.1029,-171.396,-1.38353
549,309,0.129151,0.139534,89.6248,-379.068,-2.90511
2277,1638,0.127451,0,-25.2247,-366.333,3.78727
1920,1537,0.126984,0.000675149,-184.284,-466.348,8.75778
589,30,0.126761,0,89.9265,-233.19,-2.70322
1127,407,0.126679,0,-159.09,-486.564,4.08904
1571,1083,0.126394,0,-227.656,-543.467,8.37579
2433,1126,0.124567,0,-164.132,-277.933,4.23353
777,236,0.124424,0.197749,-48.21,-247.543,2.18999
514,265,0.12037,0,69.1097,-362.406,-2.28173
1310,1143,0.118644,0,-238.089,-451.127,9.3592
2341,1655,0.1174,0,14.718,-382.453,2.70586
2029,1238,0.117063,0.0694788,-119.202,-533.501,7.54884
2403,360,0.116667,0,85.2197,-252.759,-2.17052
1834,1199,0.115942,0,-215.792,-506.788,8.93997
519,266,0.113527,0,71.6675,-354.031,-2.34523
1533,1186,0.112628,0.554322,-175.361,-438.262,8.47093
2420,485,0.112022,0,29.7042,-309.249,-0.613915
2145,886,0.11194,0,-165.514,-324.415,8.2171
1351,523,0.111753,0,-21.2237,-479.203,2.47249
2091,529,0.108527,0,-4.57975,-471.478,1.78886
2113,1387,0.107981,0.242671,-135.283,-457.741,8.17111
